"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in DE";"Node Id in FR";"Node Id in ES"
"it-apparel";1806420031;"/Categorie/Prima infanzia/Bambino 0-24/Accessori/Guanti e manopole";1730635031;1981004031;514769031;1909320031
"it-apparel";1806421031;"/Categorie/Prima infanzia/Bambino 0-24/Accessori/Berretti e cappellini";1730636031;1981005031;514768031;1909321031
"it-apparel";1806422031;"/Categorie/Prima infanzia/Bambino 0-24/Accessori/Fazzoletti da collo";1730637031;1981006031;2308672031;1909322031
"it-apparel";1806423031;"/Categorie/Prima infanzia/Bambino 0-24/Accessori/Sciarpe";1730638031;1981007031;2308673031;1909323031
"it-apparel";1806424031;"/Categorie/Prima infanzia/Bambino 0-24/Accessori/Occhiali da sole";1730639031;1981008031;514770031;1909324031
"it-apparel";1806426031;"/Categorie/Prima infanzia/Bambino 0-24/Tutine e body/Body";1730641031;1981010031;465087031;1909326031
"it-apparel";1806427031;"/Categorie/Prima infanzia/Bambino 0-24/Tutine e body/Tutine";1730642031;1981011031;465088031;1909327031
"it-apparel";1806428031;"/Categorie/Prima infanzia/Bambino 0-24/Tutine e body/Pagliaccetti";1730643031;1981012031;465089031;1909328031
"it-apparel";1806429031;"/Categorie/Prima infanzia/Bambino 0-24/Abiti da battesimo";1730644031;1981013031;2308679031;1909329031
"it-apparel";1806431031;"/Categorie/Prima infanzia/Bambino 0-24/Felpe e tute/Pantaloni sportivi";1730646031;1981015031;465057031;2949300031
"it-apparel";1806432031;"/Categorie/Prima infanzia/Bambino 0-24/Felpe e tute/Felpe con cappuccio";1730647031;1981016031;465054031;2949301031
"it-apparel";1806433031;"/Categorie/Prima infanzia/Bambino 0-24/Felpe e tute/Completini sportivi";1730648031;1981017031;465058031;2949302031
"it-apparel";1806434031;"/Categorie/Prima infanzia/Bambino 0-24/Felpe e tute/Felpe";1730649031;1981018031;465055031;2949303031
"it-apparel";1806435031;"/Categorie/Prima infanzia/Bambino 0-24/Felpe e tute/Tute";1730650031;1981019031;465056031;2949304031
"it-apparel";1806436031;"/Categorie/Prima infanzia/Bambino 0-24/Jeans";1730651031;1981020031;465059031;1909336031
"it-apparel";1806437031;"/Categorie/Prima infanzia/Bambino 0-24/Maglieria";1730652031;1981021031;465052031;1909337031
"it-apparel";1806438031;"/Categorie/Prima infanzia/Bambino 0-24/Leggings";1730676031;1981045031;2308677031;1909338031
"it-apparel";1806440031;"/Categorie/Prima infanzia/Bambino 0-24/Capispalla e Tutone/Cappotti e giacche";1730654031;1981023031;465067031;1909340031
"it-apparel";1806441031;"/Categorie/Prima infanzia/Bambino 0-24/Capispalla e Tutone/Gilet";1730655031;1981024031;523906031;1909341031
"it-apparel";1806443031;"/Categorie/Prima infanzia/Bambino 0-24/Salopette";1730657031;1981026031;465060031;1909343031
"it-apparel";1806444031;"/Categorie/Prima infanzia/Bambino 0-24/Camicie";1730658031;1981027031;465051031;1909344031
"it-apparel";1806445031;"/Categorie/Prima infanzia/Bambino 0-24/Pantaloncini";1730659031;1981028031;465062031;1909345031
"it-apparel";1806447031;"/Categorie/Prima infanzia/Bambino 0-24/Pigiami e accappatoi/Pantaloni da notte";1730661031;1981030031;465071031;1909347031
"it-apparel";1806448031;"/Categorie/Prima infanzia/Bambino 0-24/Pigiami e accappatoi/Pigiami due pezzi";1730662031;1981031031;465072031;1909348031
"it-apparel";1806449031;"/Categorie/Prima infanzia/Bambino 0-24/Pigiami e accappatoi/Magliette da notte";1730663031;1981032031;465070031;1909349031
"it-apparel";1806450031;"/Categorie/Prima infanzia/Bambino 0-24/Pigiami e accappatoi/Accappatoi";1730664031;1981033031;465074031;1909350031
"it-apparel";1806451031;"/Categorie/Prima infanzia/Bambino 0-24/Pigiami e accappatoi/Sacchi nanna";1730665031;1981034031;465075031;1909351031
"it-apparel";1806452031;"/Categorie/Prima infanzia/Bambino 0-24/Pigiami e accappatoi/Pigiami interi";1730666031;1981035031;2308680031;1909352031
"it-apparel";1806454031;"/Categorie/Prima infanzia/Bambino 0-24/Neve e pioggia/Pantaloni per la pioggia";1730668031;1981037031;465068031;1909354031
