"General category";"Product Type"
"Automotive";"AutoAccessoryMisc"
"Automotive";"Autobattery"
"Automotive";"Autochemical"
"Automotive";"AutoKeyShell"
"Automotive";"Autooil"
"Automotive";"AutoPart"
"Automotive";"BrakeKit"
"Automotive";"BrakeRotor"
"Automotive";"Carburetor"
"Automotive";"CargoNet"
"Automotive";"CargoStrap"
"Automotive";"CleaningOrRepairKit"
"Automotive";"CupHolder"
"Automotive";"EngineAirFilter"
"Automotive";"EngineComponentCap"
"Automotive";"EngineExhaustPipe"
"Automotive";"EngineWaterPump"
"Automotive";"FuelFilter"
"Automotive";"FuelPump"
"Automotive";"Handlebar"
"Automotive";"HandleGrip"
"Automotive";"Helmet"
"Automotive";"HubcapWheelCover"
"Automotive";"IgnitionCoil"
"Automotive";"JumpStarter"
"Automotive";"LicensePlateAttachment"
"Automotive";"LiquidFuelContainer"
"Automotive";"Motorcycleaccessory"
"Automotive";"Motorcyclepart"
"Automotive";"MotorEngineFuelTank"
"Automotive";"Muffler"
"Automotive";"OilFilter"
"Automotive";"OutboardMotor"
"Automotive";"PowersportsPart"
"Automotive";"PowersportsRidingJacket"
"Automotive";"PowersportsRidingPants"
"Automotive";"PowersportsRidingShirt"
"Automotive";"PowersportsRidingSuit"
"Automotive";"PowersportsVehicle"
"Automotive";"PowersportVehicleFootrest"
"Automotive";"ProtectiveGear"
"Automotive";"RidingApparel"
"Automotive";"Ridingboots"
"Automotive";"Ridinggloves"
"Automotive";"Rims"
"Automotive";"ShockAbsorber"
"Automotive";"SnowChain"
"Automotive";"SparkPlug"
"Automotive";"SteeringWheel"
"Automotive";"SteeringWheelCover"
"Automotive";"Tire"
"Automotive";"TireAndWheel"
"Automotive";"TireCover"
"Automotive";"TireValveStemCap"
"Automotive";"TonneauCover"
"Automotive";"TowHitch"
"Automotive";"TrailerHitchCover"
"Automotive";"TransportRack"
"Automotive";"UnmannedAerialVehicle"
"Automotive";"UtilityJack"
"Automotive";"Vehicle"
"Automotive";"VehicleAccentLight"
"Automotive";"VehicleBodyPanel"
"Automotive";"VehicleBrakePad"
"Automotive";"VehicleBumper"
"Automotive";"VehicleCargoCarrier"
"Automotive";"VehicleControlArm"
"Automotive";"VehicleCover"
"Automotive";"VehicleEmblem"
"Automotive";"VehicleExteriorGuard"
"Automotive";"VehicleGrille"
"Automotive";"VehicleHorn"
"Automotive";"VehicleInteriorShade"
"Automotive";"VehicleLiftKit"
"Automotive";"VehicleLightAssembly"
"Automotive";"VehicleLightBulb"
"Automotive";"VehicleLightingConversionKit"
"Automotive";"VehicleMat"
"Automotive";"VehicleMirror"
"Automotive";"VehicleMolding"
"Automotive";"VehicleRail"
"Automotive";"VehicleScanTool"
"Automotive";"VehicleSeat"
"Automotive";"VehicleSeatCover"
