"Category level 1";"Category level 2";"Category level 3";"Category level 4";"Code";"Optional EAN";"Nature of Product authorized";"Mandatory specific data"
"ADULT/EROTIC";"BOOK -ADULT STATIONERY - EROTIC";"ADULT CALENDAR";"ADULT CALENDAR";"0V040201";"No";"Standard";
"ADULT/EROTIC";"BOOK -ADULT STATIONERY - EROTIC";"EROTIC BOOK - ADULT - X RATED";"EROTIC BOOK - ADULT - X RATED";"0V040101";"No";"Standard";
"ADULT/EROTIC";"BOOK -ADULT STATIONERY - EROTIC";"EROTIC MANGA - X-RATED MANGA";"EROTIC MANGA - X-RATED MANGA";"0V040301";"No";"Standard";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"BERMUDA";"BERMUDA";"0V020D01";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"CHEMISE SEXY - CHEMISETTE SEXY";"CHEMISE SEXY - CHEMISETTE SEXY";"0V020I01";"No";"Standard";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"DRESS";"DRESS";"0V020801";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"DUNGAREES";"DUNGAREES";"0V020901";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"GLOVES - MITTENS";"GLOVES - MITTENS";"0V020301";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"JACKET ";"JACKET ";"0V020E01";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"KILT SEXY";"KILT SEXY";"0V020H01";"No";"Standard";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"LOINCLOTH";"LOINCLOTH";"0V020701";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"OUTFIT";"OUTFIT";"0V020201";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"SEXY JEWELS";"SEXY JEWELS";"0V020G01";"No";"Standard";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"SEXY SHOES";"SEXY SHOES";"0V020F01";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"SHORT TROUSERS";"SHORT TROUSERS";"0V020501";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"SHORTS";"SHORTS";"0V020A01";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"SKIRT - KILT";"SKIRT - KILT";"0V020401";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"STRAPLESS";"STRAPLESS";"0V020101";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"TROUSERS";"TROUSERS";"0V020601";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"T-SHIRT - TOP";"T-SHIRT - TOP";"0V020B01";"No";"Variant";
"ADULT/EROTIC";"CLUB WEAR - SEXY DRESS";"TUNIC";"TUNIC";"0V020C01";"No";"Variant";
"ADULT/EROTIC";"SEXTOYS";"BEN WA";"BEN WA";"0V010501";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"BREAST COVERS - BREST PLIERS";"BREAST COVERS - BREST PLIERS";"0V010601";"No";"Standard";
