"Flag";"Blocked";"Inventory Number";"Auction Title";"SKU Type";"Total Quantity";"Quantity Update Type";"Quantity";"DC Quantity Update Type";"DC Quantity";"Quantity Pending Payment";"Quantity Pending Shipment";"Buy It Now Price";"Labels";"Picture URLs";"Classification"
"NoFlag";"False";"P2A1016";"2 Flat Mouthpieces Adaptator for Vaporizer PAX 3 PAX 2 - P2A1016";"Basic Item";46;;;;"Amazon FBA UK A13J3GOUTW0JOK=15,Amazon FBA A13J3GOUTW0JOK=30,Perpignan=0";1;0;"9.9000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2A1016_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2A1016_1002.jpg";
"NoFlag";"False";"P2A1017";"2 Raised Mouthpieces Adaptator for Vaporizer PAX 3 PAX 2 - P2A1017";"Basic Item";-1;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=-1";0;0;"9.9000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2A1017_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2A1017_1002.jpg";
"NoFlag";"False";"P2A1018";"3 Oven Filters for Vaporizer PAX 3 PAX 2 - P2A1018";"Basic Item";0;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=0";0;0;"7.9000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2A1018_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2A1018_1001.jpg";
"NoFlag";"False";"P2A1020";"Magnetic Charging Dock for Vaporizer PAX 3 PAX 2 - P2A1020";"Basic Item";0;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=0";0;0;"21.1700";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2A1020_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2A1020_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P2A1020_1003.jpg";
"NoFlag";"False";"P2A1022";"Standard Oven Lid for Vaporizer PAX 3 PAX 2 - P2A1022";"Basic Item";53;;;;"Amazon FBA UK A13J3GOUTW0JOK=18,Amazon FBA A13J3GOUTW0JOK=34,Perpignan=0";1;0;"9.9000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2A1022_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2A1022_1002.jpg";
"NoFlag";"False";"P2A1737";"Half Pack Oven Lid Reducer for Vaporizer PAX 3 PAX 2 - P2A1737";"Basic Item";176;;;;"Amazon FBA UK A13J3GOUTW0JOK=54,Amazon FBA A13J3GOUTW0JOK=114,Perpignan=0";0;0;"9.9000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2A1737_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2A1737_1001.jpg";
"NoFlag";"False";"P2A1738";"Multi-Tools Keychain Cleaning for Vaporizer PAX 3 PAX 2 - P2A1738";"Basic Item";161;;;;"Amazon FBA UK A13J3GOUTW0JOK=44,Amazon FBA A13J3GOUTW0JOK=113,Perpignan=0";2;0;"10.1200";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2A1738_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2A1738_1001.jpg";
"NoFlag";"False";"P2A1740";"1 Brush, 3 Filters, 10 Sticks Fit Maintenance Kit for Vaporizer PAX 3 PAX 2 - P2A1740";"Basic Item";91;;;;"Amazon FBA UK A13J3GOUTW0JOK=28,Amazon FBA A13J3GOUTW0JOK=44,Perpignan=-1";10;0;;"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2A1740_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2A1740_1001.jpg";
"NoFlag";"False";"P2A1741";"Magnetic Mini USB Charger for Vaporizer PAX 3 PAX 2 - P2D1741";"Basic Item";141;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=141,Perpignan=0";0;0;"20.9100";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2A1741_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2A1741_1001.jpg";
"NoFlag";"False";"P2A1823";"Liquid Oil Concentrate Adapter for Vaporizer PAX 3 - P2A1823";"Basic Item";45;;;;"Amazon FBA UK A13J3GOUTW0JOK=25,Amazon FBA A13J3GOUTW0JOK=18,Perpignan=0";2;0;"39.9000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2A1823_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2A1823_1001.jpg";
"NoFlag";"False";"P2A1844";"Official Concentrate Oven Lid + 5 Oring kit for Vaporizer PAX 3 - P2A1844";"Basic Item";1;;;;"Amazon FBA UK A13J3GOUTW0JOK=1,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=0";0;0;;"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2A1844_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2A1844_1001.jpg";
"NoFlag";"False";"P2D2076";"Pax | PAX 2 - Premium Portable Vaporizer - Dry Herb Vape Pen - New Colour - Silver";"Basic Item";96;;;;"Amazon FBA UK A13J3GOUTW0JOK=54,Amazon FBA A13J3GOUTW0JOK=41,Perpignan=0";1;0;"129.0000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2D2076-SIL_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2D2076-SIL_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P2D2076-SIL_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P2D2076-SIL_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P2D2076-SIL_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P2D2076-SIL_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P2D2076-SIL_1006.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P2D2076-SIL_1007.jpg";
"NoFlag";"False";"P2D2077";"Pax | PAX 2 - Premium Portable Vaporizer - Dry Herb Vape Pen - New Colour - Brushed Charcoal";"Basic Item";99;;;;"Amazon FBA UK A13J3GOUTW0JOK=84,Amazon FBA A13J3GOUTW0JOK=14,Perpignan=0";1;0;"109.0000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2D2077-BLK_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2D2077-BLK_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P2D2077-BLK_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P2D2077-BLK_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P2D2077-BLK_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P2D2077-BLK_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P2D2077-BLK_1006.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P2D2077-BLK_1007.jpg";
"NoFlag";"False";"P3D2042";"Pax | PAX 3 - Premium Portable Vaporizer - Dry Herb Oil Wax - 10Year Warranty - Complete Kit - Black";"Basic Item";0;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=0";0;0;"211.7000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P3D2042-BLK_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P3D2042-BLK_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P3D2042-BLK_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P3D2042-BLK_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P3D2042-BLK_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P3D2042-BLK_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P3D2042-BLK_1007.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P3D2042-BLK_1007.jpg";
