"External Document No_";"Location Code";"Document No_";"Package Tracking No_";"Customer No_";"Name";"Item No_"
"406-9078691-9644307";"AMAZON";"DSR22000238";"LPNA012694189";"000163";"AMAZON PAX IT";"PX-P3D2576"
"406-9078691-9644307";"AMAZON";"PDVF22/000810";"LPNA012694189";"000163";"AMAZON PAX IT";
"407-3365627-9584321";"AMAZON";"DSRF22000783";"LPNA013153098";"000163";"AMAZON PAX IT";"PX-P3D2541"
"407-3365627-9584321";"AMAZON";"PDVF22/001123";"LPNA013153098";"000163";"AMAZON PAX IT";
"171-3813719-8438707";"AMAZON";"DSRF22000707";"LPNA013478058";"000163";"AMAZON PAX IT";"PX-P3D2449"
"171-3813719-8438707";"AMAZON";"PDVF22/001043";"LPNA013478058";"000163";"AMAZON PAX IT";
"403-2356761-2153915";"AMAZON";"DSRF22000819";"LPNA013707408";"000163";"AMAZON PAX IT";"PX-P3D2449"
"403-2356761-2153915";"AMAZON";"PDVF22/001539";"LPNA013707408";"000163";"AMAZON PAX IT";
"405-1457602-1182758";"AMAZON";"DSRF22000529";"LPNA015911814";"000163";"AMAZON PAX IT";"MI-EVO13"
"405-1457602-1182758";"AMAZON";"PDVF22/000798";"LPNA015911814";"000163";"AMAZON PAX IT";
"171-3813719-8438707";"AMAZON";"DSRF22000617";"LPNA016315099";"000163";"AMAZON PAX IT";"PX-P2A1740"
"171-3813719-8438707";"AMAZON";"PDVF22/001069";"LPNA016315099";"000163";"AMAZON PAX IT";
"406-6086000-3621946";"AMAZON";"DSRF22000749";"LPNA016488969";"000163";"AMAZON PAX IT";"PX-P2D2077"
"406-6086000-3621946";"AMAZON";"PDVF22/000970";"LPNA016488969";"000163";"AMAZON PAX IT";
"305-9445127-9218732";"AMAZON";"DSR21001174";"LPNHE282788422";"000193";"AMAZON PAX DE";"X-SKV4093GL"
"305-9445127-9218732";"AMAZON";"PDVF21/000971";"LPNHE282788422";"000193";"AMAZON PAX DE";
"302-6586722-9163541";"AMAZON";"DSR21001064";"LPNHE294249065";"000193";"AMAZON PAX DE";"PX-P2A1737"
"302-6586722-9163541";"AMAZON";"PDVF21/000953";"LPNHE294249065";"000193";"AMAZON PAX DE";
"402-4610572-2032340";"AMAZON";"PDVF21/000990";"LPNHE310311411";"000222";"AMAZON PAX FR";
"204-0844327-9660305";"AMAZON";"DSR21000076";"LPNHE351840591";"000223";"Amazon Pax Uk";"PX-P3D2044"
"026-6373476-3713111";"AMAZON";"DSR21000111";"LPNHE353229154";"000223";"Amazon Pax Uk";"PX-P3D2050"
"204-9867303-2777938";"AMAZON";"DSR21000081";"LPNHE353367557";"000223";"Amazon Pax Uk";"PX-P3D2042"
"405-8807982-3649911";"AMAZON";"DSR22000183";"LPNHE369924304";"000163";"AMAZON PAX IT";"CRC-2007992"
"405-8807982-3649911";"AMAZON";"PDVF21/001807";"LPNHE369924304";"000163";"AMAZON PAX IT";
"204-9555757-8851554";"AMAZON";"DSR21000087";"LPNHE387932899";"000223";"Amazon Pax Uk";"PX-P3D2050"
"203-6024760-2171512";"AMAZON";"DSR21000066";"LPNHE388311917";"000223";"Amazon Pax Uk";"PX-P3D2043"
"202-3681267-2678746";"AMAZON";"DSR21000226";"LPNHE389241752";"000223";"Amazon Pax Uk";"PX-P3D2042"
"202-3377638-7376301";"AMAZON";"DSR21000095";"LPNHE390188315";"000223";"Amazon Pax Uk";"PX-P3D2053"
"205-6132656-4398702";"AMAZON";"DSR21000093";"LPNHE390962869";"000223";"Amazon Pax Uk";"PX-P3D2050"
"204-1144255-0857918";"AMAZON";"DSR21000115";"LPNHE391327164";"000223";"Amazon Pax Uk";"PX-P3D2042"
"204-2601180-0384357";"AMAZON";"DSR21000077";"LPNHE391390195";"000223";"Amazon Pax Uk";"PX-P3D2042"
"202-8001889-9211548";"AMAZON";"DSR21000079";"LPNHE391595798";"000223";"Amazon Pax Uk";"PX-P3D2042"
"403-6253018-9158706";"AMAZON";"DSR21001188";"LPNHE393705247";"000230";"AMAZON PAX ES";"X-RSD0105CE"
"403-6253018-9158706";"AMAZON";"PDVF21/000916";"LPNHE393705247";"000230";"AMAZON PAX ES";
"404-9936062-1472316";"AMAZON";"DSR21000225";"LPNHE404697337";"000222";"AMAZON PAX FR";"PX-P3D2042"
"405-8472744-4373964";"AMAZON";"DSR21000067";"LPNHE413315951";"000230";"AMAZON PAX ES";"PX-P3D2043"
"404-4263508-4437137";"AMAZON";"DSR21000113";"LPNHE415152669";"000230";"AMAZON PAX ES";"PX-P3D2052"
"028-3525211-8584333";"AMAZON";"DSR21000088";"LPNHE417338132";"000193";"AMAZON PAX DE";"PX-P3D2050"
"303-5097690-9693138";"AMAZON";"DSR21000361";"LPNHE417786803";"000193";"AMAZON PAX DE";"PX-P3D2050"
"305-3471244-1575510";"AMAZON";"DSR21001068";"LPNHE418663854";"000193";"AMAZON PAX DE";"X-SKV4110GL"
"305-3471244-1575510";"AMAZON";"PDVF21/000865";"LPNHE418663854";"000193";"AMAZON PAX DE";
"306-6838029-1906712";"AMAZON";"DSR21000084";"LPNHE419220925";"000193";"AMAZON PAX DE";"PX-P3D2050"
"171-8074038-8698736";"AMAZON";"DSR21000224";"LPNHE421835936";"000222";"AMAZON PAX FR";"PX-P3D2053"
"304-3643485-2388336";"AMAZON";"PDVF21/001041";"LPNHE422492656";"000193";"AMAZON PAX DE";
"404-4863726-5289133";"AMAZON";"DSR21000103";"LPNHE429398145";"000230";"AMAZON PAX ES";"PX-P3D2042"
"406-0622533-9861130";"AMAZON";"PDVF21/000995";"LPNHE437895431";"000222";"AMAZON PAX FR";
"403-9100170-5941141";"AMAZON";"DSR21000102";"LPNHE440997080";"000222";"AMAZON PAX FR";"PX-P2D2076"
"306-5922166-7623541";"AMAZON";"PDVF21/000982";"LPNHE442584847";"000193";"AMAZON PAX DE";
"408-9805845-1874754";"AMAZON";"DSR21001062";"LPNHE451389617";"000230";"AMAZON PAX ES";"PX-P2A1738"
"408-9805845-1874754";"AMAZON";"PDVF21/000889";"LPNHE451389617";"000230";"AMAZON PAX ES";
"407-5746680-1572340";"AMAZON";"PDVF21/001319";"LPNHE453032870";"000230";"AMAZON PAX ES";
"406-1635102-8125915";"AMAZON";"PDVF21/001155";"LPNHE456237236";"000230";"AMAZON PAX ES";
"407-5951740-0086728";"AMAZON";"PDVF21/000993";"LPNHE460334286";"000163";"AMAZON PAX IT";
"404-7903930-6944366";"AMAZON";"PDVF21/001149";"LPNHE462299131";"000230";"AMAZON PAX ES";
"402-5318048-2031553";"AMAZON";"PDVF21/001328";"LPNHE466191228";"000230";"AMAZON PAX ES";
"407-1854535-7918749";"AMAZON";"PDVF21/001327";"LPNHE466357887";"000230";"AMAZON PAX ES";
"405-1505484-0035544";"AMAZON";"PDVF21/001150";"LPNHE467191952";"000230";"AMAZON PAX ES";
"405-5944701-5897918";"AMAZON";"PDVF21/001147";"LPNHE467243607";"000230";"AMAZON PAX ES";
"403-0193293-3441128";"AMAZON";"PDVF21/001148";"LPNHE468087460";"000230";"AMAZON PAX ES";
"305-6346485-3768364";"AMAZON";"DSR21000707";"LPNHE471373671";"000193";"AMAZON PAX DE";"PX-P3D2454"
"305-6346485-3768364";"AMAZON";"PDVF21/000895";"LPNHE471373671";"000193";"AMAZON PAX DE";
"404-5983295-8646706";"AMAZON";"DSRF22000574";"LPNHE477600750";"000230";"AMAZON PAX ES";"SNS-ROAM1R21BLK"
"404-5983295-8646706";"AMAZON";"PDVF22/000636";"LPNHE477600750";"000230";"AMAZON PAX ES";
"404-0095093-9825164";"AMAZON";"PDVF21/001321";"LPNHE477675717";"000230";"AMAZON PAX ES";
"406-8984209-8203513";"AMAZON";"PDVF21/001156";"LPNHE478341933";"000230";"AMAZON PAX ES";
"303-9318994-7941924";"AMAZON";"PDVF21/000991";"LPNHE486875494";"000193";"AMAZON PAX DE";
"403-3109499-6486719";"AMAZON";"DSR21000423";"LPNHE492314678";"000287";"AMAZON PAX NO VAT IT";"X-RSD0177CE"
"403-3109499-6486719";"AMAZON";"PDVF21/000364";"LPNHE492314678";"000287";"AMAZON PAX NO VAT IT";
"403-0223541-5639539";"AMAZON";"PDVF21/000994";"LPNHE495607634";"000163";"AMAZON PAX IT";
"407-7194642-2669137";"AMAZON";"PDVF21/001313";"LPNHE495952230";"000230";"AMAZON PAX ES";
"404-4143920-9834742";"AMAZON";"DSR21001047";"LPNHE499704542";"000163";"AMAZON PAX IT";"PX-P3D2449"
"404-4143920-9834742";"AMAZON";"PDVF21/000927";"LPNHE499704542";"000163";"AMAZON PAX IT";
"408-8712450-1117943";"AMAZON";"PDVF21/001323";"LPNHE504482065";"000163";"AMAZON PAX IT";
"405-3366901-4690733";"AMAZON";"PDVF21/000997";"LPNHE505272941";"000163";"AMAZON PAX IT";
"171-9671367-8713967";"AMAZON";"DSR21001182";"LPNHE505888151";"000163";"AMAZON PAX IT";"X-RSD0106CE"
"171-9671367-8713967";"AMAZON";"PDVF21/000969";"LPNHE505888151";"000163";"AMAZON PAX IT";
"407-0081497-1443557";"AMAZON";"PDVF21/001320";"LPNHE507140775";"000222";"AMAZON PAX FR";
"405-4332606-2769100";"AMAZON";"DSRF21000058";"LPNHE508584123";"000222";"AMAZON PAX FR";"CRC-2007000"
"405-4332606-2769100";"AMAZON";"PDVF21/001264";"LPNHE508584123";"000222";"AMAZON PAX FR";
"404-0634562-6553167";"AMAZON";"DSR21001060";"LPNHE508598627";"000163";"AMAZON PAX IT";"PX-P3D2045"
"404-0634562-6553167";"AMAZON";"PDVF21/000796";"LPNHE508598627";"000163";"AMAZON PAX IT";
"303-1890878-3264349";"AMAZON";"PDVF21/000987";"LPNHE510389987";"000193";"AMAZON PAX DE";
"171-2156463-0850731";"AMAZON";"PDVF21/001547";"LPNHE511145308";"000222";"AMAZON PAX FR";
"303-0195689-7933164";"AMAZON";"PDVF21/000988";"LPNHE511255159";"000193";"AMAZON PAX DE";
"404-0424240-3452348";"AMAZON";"DSR21000658";"LPNHE514729150";"000222";"AMAZON PAX FR";"PX-P3D2451"
"404-0424240-3452348";"AMAZON";"PDVF21/000863";"LPNHE514729150";"000222";"AMAZON PAX FR";
"306-4017283-1840312";"AMAZON";"DSR21000703";"LPNHE514788890";"000193";"AMAZON PAX DE";"PX-P3D2451"
"306-4017283-1840312";"AMAZON";"PDVF21/000854";"LPNHE514788890";"000193";"AMAZON PAX DE";
"405-6278034-2377940";"AMAZON";"DSR21000709";"LPNHE514980348";"000163";"AMAZON PAX IT";"PX-P3D2455"
"405-6278034-2377940";"AMAZON";"PDVF21/000812";"LPNHE514980348";"000163";"AMAZON PAX IT";
