"license-plate-number";"customer-return-date";"asin";"sku";"Brand";"Product Name";"amazon-order-id";"quantity";"Collection_Order";"delivery-date-biarritz";"device-serial-number";"item-status";"RMA KP";"ID ";"RMA batch";"LaRoca"
"LPNHE389230550";22/01/2020;"B01FOLFB4Y";"P2A1018";"PAX";"PA XFILTER SCREENS (3-PACK)";"204-3817932-6237166";1;;12/02/2020;;"Used";"yes";"PRG210408740583";08/04/2021;"x"
"LPNHE406972553";29/01/2020;"B01FOLFB4Y";"P2A1018";"PAX";"PA XFILTER SCREENS (3-PACK)";"205-2366764-5949167";1;;24/02/2020;;"Used";"yes";"PRG210408740583";08/04/2021;"x"
"LPNHE351914413";05/03/2020;"B012EIF19K";"P2A1017";"PAX";"PAX RAISED MOUTHPIECE";"205-2477212-1913961";1;;15/05/2020;;"Used";"yes";"PRG210408740583";08/04/2021;"x"
"LPNHE442584847";26/03/2020;"B075WXCLKF";"P3D2053";"PAX";"PAX3 BASIC ROSE GOLD";"306-5922166-7623541";1;;15/05/2020;;"New";"yes";"PRG210408740583";08/04/2021;"x"
"LPNHE437895431";29/04/2020;"B012EIKS5C";"P2A1020";"PAX";"PAX CHARGER";"406-0622533-9861130";1;;21/05/2020;;"Used";"yes";"PRG210408740583";08/04/2021;"x"
"LPNHE460334286";11/05/2020;"B01N95Z86Y";"P2A1738";"PAX";"PAX MULTITOOL KEYCHAIN";"407-5951740-0086728";1;;09/06/2020;;"Used";"yes";"PRG210408740583";08/04/2021;"x"
"LPNWE012290978";01/07/2020;"B012EIBTSC";"P2A1022";"PAX";"PAX OVEN LID";"203-9090944-3465133";1;;21/07/2020;;"Used";"yes";"PRG210408740583";08/04/2021;"x"
"LPNWE006202986";07/07/2020;"B075WXCLKF";"P3D2053";"PAX";"PAX3 BASIC ROSE GOLD";"202-3187742-7935565";1;;29/07/2020;;"New";"yes";"PRG210408740583";08/04/2021;"x"
"LPNWE011540920";19/07/2020;"B075WXKSWM";"P3D2052";"PAX";"PAX3 BASIC SILVER";"204-0345589-7819545";1;;17/08/2020;;"New";"yes";"PRG210408740583";08/04/2021;"x"
"LPNHE465146170";25/09/2020;"B075WYBXKK";"P3D2051";"PAX";"PAX3 BASIC TEAL";"407-6277003-2264304";1;;28/10/2020;;"Empty_box";"yes";"PRG210408740583";08/04/2021;"x"
"LPNWE026031681";24/10/2020;"B01MTOWIV6";"P2A1741";"PAX";"PA XMINI USB CHARGER";"203-8184865-7113943";1;;18/11/2020;;"Used";"yes";"PRG210408740583";08/04/2021;"x"
"LPNWE024844347";01/11/2020;"B01MTOWIV6";"P2A1741";"PAX";"PA XMINI USB CHARGER";"204-2596630-8300303";1;;18/11/2020;;"Used";"yes";"PRG210408740583";08/04/2021;"x"
"LPNHE310311411";03/11/2020;"B01N76NN0J";"P2A1017";"PAX";"PAX RAISED MOUTHPIECE";"402-4610572-2032340";1;;07/12/2020;;"Opened";"yes";"PRG210408740583";08/04/2021;"x"
